"","Hour","Probability"
"1",0,0.0231293670303588
"2",1,0.0182734109156081
"3",2,0.0128785768778987
"4",3,0.00992383051381102
"5",4,0.0107896680754187
"6",5,0.011915862386321
"7",6,0.015766720352632
"8",7,0.0234684362852541
"9",8,0.0390958960510541
"10",9,0.0565034694050546
"11",10,0.0566911684568716
"12",11,0.0562128386151443
"13",12,0.0564126472832076
"14",13,0.055086644304242
"15",14,0.0593250099904334
"16",15,0.0622555371220286
"17",16,0.067002506690563
"18",17,0.0697695540028336
"19",18,0.0711984887198925
"20",19,0.0663001489482798
"21",20,0.054995822182395
"22",21,0.043449303091585
"23",22,0.0353176957822207
"24",23,0.0242373969168917
